react_id	kappmax_davidi_per_pp_per_s_ensemble_model	kappmax_davidi_per_pp_per_s_median_imputed	kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model	kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed	kappmax_KO_ALE_per_pp_per_s_ensemble_model	kappmax_KO_ALE_per_pp_per_s_median_imputed	kcat_in_vitro_per_s_ensemble_model	kcat_in_vitro_per_s_median_imputed
3OAR140_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAR141	2.953115165	6.2	3.76323216	3.76323216	3.76323216	3.76323216	18.09024656	16.61666667
3OAR160	3.194491624	6.2	3.192801389	3.192801389	3.192801389	3.192801389	14.68975978	16.61666667
3OAR160_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAR161	2.953115165	6.2	3.76323216	3.76323216	3.76323216	3.76323216	18.09024656	16.61666667
3OAR180	2.953115165	6.2	5.17741185	4.2	2.903881278	3.26802058	18.09024656	16.61666667
3OAR180_b	3.022569682	6.2	5.065525847	4.2	2.660883782	3.26802058	11.09271992	16.61666667
3OAR181	2.953115165	6.2	1.27988954	1.27988954	1.27988954	1.27988954	18.09024656	16.61666667
3OAR40	2.953115165	6.2	8.243371963	8.243371963	8.243371963	8.243371963	18.09024656	16.61666667
3OAR40_b	3.022569682	6.2	5.065525847	4.2	2.660883782	3.26802058	11.09271992	16.61666667
3OAR60	3.194491624	6.2	8.243371963	8.243371963	8.243371963	8.243371963	14.68975978	16.61666667
3OAR60_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAR80	3.194491624	6.2	8.243371963	8.243371963	8.243371963	8.243371963	14.68975978	16.61666667
3OAR80_b	3.073002451	6.2	5.663111269	4.2	3.96741055	3.26802058	7.607001312	16.61666667
3OAS100	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OAS120	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OAS121	3.475810441	6.2	1.876474961	1.876474961	1.876474961	1.876474961	7.58572215	16.61666667
3OAS140	1.124551777	6.2	4.192823098	4.2	1.518963599	3.26802058	5.70065402	16.61666667
3OAS141	3.475810441	6.2	1.876474961	1.876474961	1.876474961	1.876474961	7.58572215	16.61666667
3OAS160	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OAS161	3.475810441	6.2	1.876474961	1.876474961	1.876474961	1.876474961	7.58572215	16.61666667
3OAS180	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OAS181	4.214321657	6.2	1.31640661	1.31640661	1.31640661	1.31640661	7.143039683	16.61666667
3OAS60	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OAS80	3.470337748	6.2	5.920344603	4.2	2.635985121	3.26802058	7.611225746	16.61666667
3OXCOAT	5.226968051	6.2	6.597783082	4.2	3.170323584	3.26802058	15.15649224	16.61666667
3PEPTabcpp	17.86881433	6.2	6.162532529	4.2	2.526631215	3.26802058	10.40265347	16.61666667
3SLAR	5.870004574	6.2	7.485241593	4.2	2.702707552	3.26802058	31.33136217	16.61666667
42A12BOOXpp	6.403926081	6.2	20.51675433	4.2	2.736612038	3.26802058	7.39133965	16.61666667
4ABZGLUH	28.51535771	6.2	35.40551164	4.2	4.851052595	3.26802058	8.808396342	16.61666667
4ABZGLUH_b	9.053246771	6.2	6.230403916	4.2	2.580011385	3.26802058	10.35139274	16.61666667
4HTHRA	6.263107218	6.2	13.9136777	4.2	8.344680396	3.26802058	18.03954043	16.61666667
4HTHRA_b	2.780763079	6.2	3.337442501	4.2	1.505021909	3.26802058	5.861122744	16.61666667
4HTHRK	2.809710691	6.2	3.347380158	4.2	1.51276291	3.26802058	5.89083532	16.61666667
4HTHRS	4.687329226	6.2	13.53119048	4.2	3.322615304	3.26802058	8.060885017	16.61666667
4PCP	4.185510589	6.2	17.91311836	4.2	3.73361313	3.26802058	61.04554544	16.61666667
4PCPpp	6.989049742	6.2	12.21003082	4.2	3.280726957	3.26802058	16.72468081	16.61666667
4PEPTabcpp	17.75293182	6.2	6.177261809	4.2	2.525389346	3.26802058	10.22833414	16.61666667
5DGLCNR	15.97912693	6.2	44.19170643	4.2	33.42808609	3.26802058	45.31106342	16.61666667
5DKGR	12.43493026	6.2	40.70557979	4.2	32.24250201	3.26802058	11.46848036	16.61666667
5DKGR_b	4.90591585	6.2	7.084387714	4.2	2.874367087	3.26802058	10.21140727	16.61666667
5DOAN	0.01	0.01	0.02992072	0.02992072	0.02992072	0.02992072	0.724286927	16.61666667
6D6SFK	5.015344593	6.2	7.417116439	4.2	3.439494471	3.26802058	13.24274329	16.61666667
6D6SPA	6.234284465	6.2	41.46912425	4.2	9.532659938	3.26802058	14.08828257	16.61666667
A5PISO	10.0532314	6.2	37.22966439	4.2	3.671732717	3.26802058	242	242
A5PISO_b	9.000632185	6.2	83.02724485	4.2	3.381361827	3.26802058	218	218
AACPS1	0.181234031	6.2	0.415177197	4.2	0.473364781	3.26802058	7.754523137	16.61666667
AACPS2	3.532181719	6.2	3.761123206	4.2	2.004405589	3.26802058	14.6759736	16.61666667
AACPS3	1.778385241	6.2	2.168342052	4.2	1.470615488	3.26802058	18.32702063	16.61666667
AACPS4	2.938525211	6.2	2.446264367	4.2	1.572153922	3.26802058	39.6323431	16.61666667
AACPS5	2.090195563	6.2	2.061912729	4.2	1.294523889	3.26802058	50.00033132	16.61666667
AACPS6	3.532181719	6.2	3.761123206	4.2	2.004405589	3.26802058	14.6759736	16.61666667
AACPS7	1.328167808	6.2	1.678717757	4.2	0.90042935	3.26802058	13.16456576	16.61666667
AACPS8	3.532181719	6.2	3.761123206	4.2	2.004405589	3.26802058	14.6759736	16.61666667
AACPS9	0.00089685	6.2	0.002985464	4.2	0.006939994	3.26802058	0.58514562	16.61666667
AACTOOR	5.728748094	6.2	5.225888984	4.2	2.496258482	3.26802058	13.17249886	16.61666667
AADDGT	4.933952711	6.2	7.023720149	4.2	3.399368018	3.26802058	12.86458611	16.61666667
AAMYL	9.878269591	6.2	12.25146289	4.2	6.124081158	3.26802058	21.1556749	16.61666667
AAMYLpp	17.04541302	6.2	10.5007897	4.2	4.282791499	3.26802058	18.75112421	16.61666667
AB6PGH	7.498849615	6.2	10.34184977	4.2	3.909702962	3.26802058	27.84059883	16.61666667
ABTA	14.99014539	6.2	23.38587767	4.2	6.152949542	3.26802058	47.4	47.4
ABUTD	4.766578731	6.2	9.827115678	4.2	2.70251531	3.26802058	5.65	5.65
ACACCT	5.267629965	6.2	10.1045868	4.2	2.846614779	3.26802058	27.2433423	16.61666667
ACACT1r	20.604199	6.2	47.9316975	4.2	14.25118936	3.26802058	6.5	6.5
ACACT1r_b	6.357622926	6.2	7.225161658	4.2	3.663451725	3.26802058	220.5	220.5
ACACT2r	19.943623	6.2	50.15515065	4.2	10.82815188	3.26802058	6.5	6.5
ACACT2r_b	6.396894611	6.2	8.280073081	4.2	3.631752485	3.26802058	17.66640971	16.61666667
ACACT3r	16.40302712	6.2	40.72773135	4.2	8.939981356	3.26802058	6.5	6.5
ACACT3r_b	5.078560973	6.2	5.866852138	4.2	2.697898233	3.26802058	14.86859595	16.61666667
ACACT4r	18.72879938	6.2	49.32257314	4.2	11.088306	3.26802058	6.5	6.5
ACACT4r_b	6.0559759	6.2	8.010837474	4.2	3.643210085	3.26802058	17.10032327	16.61666667
ACACT5r	16.40302712	6.2	40.72773135	4.2	8.939981356	3.26802058	6.5	6.5
ACACT5r_b	5.078560973	6.2	5.866852138	4.2	2.697898233	3.26802058	14.86859595	16.61666667
ACACT6r	16.56418726	6.2	44.491887	4.2	9.71210663	3.26802058	6.5	6.5
ACACT6r_b	6.038982685	6.2	7.975868975	4.2	3.645638393	3.26802058	17.13491892	16.61666667
ACACT7r	13.567402	6.2	33.42297176	4.2	9.086134177	3.26802058	6.5	6.5
ACACT7r_b	5.03673775	6.2	5.779211567	4.2	2.967913762	3.26802058	12.58010179	16.61666667
ACACT8r	5.078560973	6.2	5.866852138	4.2	2.697898233	3.26802058	14.86859595	16.61666667
ACACT8r_b	6.136405374	6.2	12.31304643	4.2	3.686624193	3.26802058	12.62298309	16.61666667
ACALD	100.6463057	6.2	157.8813114	4.2	16.37094379	3.26802058	15.7	15.7
ACALD_b	42.15958938	6.2	41.07729021	4.2	8.194523452	3.26802058	24.41892023	16.61666667
ACANTHAT	4.261182717	6.2	6.001286524	4.2	3.40781274	3.26802058	10.82756676	16.61666667
ACBIPGT	2.862405445	6.2	3.611973366	4.2	2.786668359	3.26802058	6.375625112	16.61666667
ACCOAC	14.85383224	6.2	13.54647455	4.2	3.955379528	3.26802058	2.793669326	16.61666667
ACCOAL	6.735703318	6.2	6.841382793	4.2	7.875132181	3.26802058	19.47446216	16.61666667
ACGAL1PPpp	7.379503994	6.2	22.64703417	4.2	21.87028232	3.26802058	13.94801967	16.61666667
ACGAM1PPpp	7.379503994	6.2	22.64703417	4.2	21.87028232	3.26802058	13.94801967	16.61666667
ACGAMK	6.239783702	6.2	8.571375355	4.2	3.437180687	3.26802058	11.69878254	16.61666667
ACGAMT	6.357154611	6.2	10.39548996	4.2	3.916750467	3.26802058	10.5028997	16.61666667
ACGK	8.4	8.4	8.4	8.4	6.482128213	6.482128213	31.96440224	16.61666667
ACGS	228	228	228	228	25.92217858	25.92217858	31.98033395	16.61666667
ACHBS	20.06329078	6.2	24.21468805	4.2	7.395987423	3.26802058	71	71
ACKr	91.34634346	6.2	154.2969155	4.2	57.64807883	3.26802058	3515	3515
ACKr_b	175.5270278	6.2	320.7627535	4.2	139.7800702	3.26802058	3515	3515
ACLS	50.012841	6.2	99.63539489	4.2	29.79636797	3.26802058	66.7	66.7
ACM6PH	3.858039946	6.2	4.830379956	4.2	2.703963526	3.26802058	5.7	5.7
ACMAMUT	5.215357845	6.2	6.824090574	4.2	3.365882057	3.26802058	15.7749548	16.61666667
ACNML	4.855606474	6.2	6.817883495	4.2	3.308309669	3.26802058	6.75	6.75
ACOAD1f	2.192475337	6.2	7.118271194	4.2	0.128217376	3.26802058	10.35893872	16.61666667
ACOAD1f_b	356	356	356	356	3.122071173	3.26802058	15.5710688	16.61666667
ACOAD1fr	9.550603877	6.2	18.4653912	4.2	9.260675219	3.26802058	44.26366805	16.61666667
ACOAD2f	77.52226202	6.2	141.1712481	4.2	2.822655334	3.26802058	15.65698912	16.61666667
ACOAD2f_b	356	356	356	356	7.085496246	3.26802058	28.6293178	16.61666667
ACOAD3f	83.53955686	6.2	177.0651391	4.2	3.639978511	3.26802058	16.39692901	16.61666667
ACOAD3f_b	356	356	356	356	8.652383358	3.26802058	29.28116783	16.61666667
ACOAD4f	77.52226202	6.2	141.1712481	4.2	2.822655334	3.26802058	15.65698912	16.61666667
ACOAD4f_b	356	356	356	356	7.085496246	3.26802058	28.6293178	16.61666667
ACOAD5f	85.44944211	6.2	178.0976022	4.2	3.666903075	3.26802058	16.49307236	16.61666667
ACOAD5f_b	356	356	356	356	8.701169491	3.26802058	29.33724959	16.61666667
ACOAD6f	85.07295266	6.2	177.8439314	4.2	3.672441798	3.26802058	16.4771867	16.61666667
ACOAD6f_b	278	278	278	278	7.639587919	3.26802058	28.74206047	16.61666667
ACOAD7f	77.52226202	6.2	141.1712481	4.2	2.822655334	3.26802058	15.65698912	16.61666667
ACOAD7f_b	128	128	128	128	5.366347699	3.26802058	25.84326373	16.61666667
ACOAD8f	77.52226202	6.2	141.1712481	4.2	2.822655334	3.26802058	15.65698912	16.61666667
ACOAD8f_b	77.52226202	6.2	141.1712481	4.2	2.822655334	3.26802058	15.65698912	16.61666667
ACOATA	3.954640135	6.2	31.43486291	4.2	2.661059927	3.26802058	13.92787085	16.61666667
ACOATA_b	3.954640135	6.2	31.43486291	4.2	2.661059927	3.26802058	13.92787085	16.61666667
ACODA	26	26	26	26	10.97911257	10.97911257	1600	1600
ACONMT	5.520318741	6.2	10.32900889	4.2	3.880164722	3.26802058	11.19796998	16.61666667
ACONTa	44.04387551	6.2	53.04812227	4.2	64.34496225	3.26802058	83.42739954	16.61666667
ACONTa_b	7.17524382	6.2	12.70206004	4.2	8.030473937	3.26802058	7.215213709	16.61666667
ACONTb	27.81061588	6.2	44.38226759	4.2	46.76196807	3.26802058	110.5921603	16.61666667
ACONTb_b	8.521498213	6.2	14.16696154	4.2	14.12519142	3.26802058	8.745582521	16.61666667
ACOTA	12.54011839	6.2	8.508720299	4.2	13.30699595	3.26802058	3	3
ACOTA_b	9.286395966	6.2	12.91395202	4.2	6.936053944	3.26802058	8.600157569	16.61666667
ACOXT	3.211683766	6.2	6.89005553	4.2	5.120754243	3.26802058	9.754237777	16.61666667
ACOXT_b	3.211683766	6.2	6.89005553	4.2	5.120754243	3.26802058	9.754237777	16.61666667
ACP1_FMN	5.544964667	6.2	8.751830045	4.2	3.8918229	3.26802058	9.4	9.4
ACP1p	5.208496781	6.2	15.70324068	4.2	2.778759793	3.26802058	19.89101137	16.61666667
ACPPAT120	5.546069721	6.2	36.92430526	4.2	2.410530677	3.26802058	15.4573324	16.61666667
ACPPAT140	5.546069721	6.2	36.92430526	4.2	2.410530677	3.26802058	15.4573324	16.61666667
ACPPAT141	5.546069721	6.2	36.92430526	4.2	2.410530677	3.26802058	15.4573324	16.61666667
ACPPAT160	4.950561759	6.2	24.47100718	4.2	2.23660972	3.26802058	15.72504244	16.61666667
ACPPAT161	4.481766756	6.2	14.85499909	4.2	2.087464475	3.26802058	17.11010195	16.61666667
ACPPAT180	5.546069721	6.2	36.92430526	4.2	2.410530677	3.26802058	15.4573324	16.61666667
ACPPAT181	3.290368789	6.2	6.194971357	4.2	1.990575494	3.26802058	27.60974936	16.61666667
ACPS1	4.457913895	6.2	7.173400019	4.2	3.993322431	3.26802058	1	1
ACS	5.613531825	6.2	7.741581077	4.2	2.395637521	3.26802058	6.575997491	16.61666667
ADA	9.050497175	6.2	33.05413575	4.2	54.16734212	3.26802058	16.7135866	16.61666667
ADCL	1.4	1.4	1.553082064	1.553082064	1.553082064	1.553082064	3.071846443	16.61666667
ADCS	2.953694649	6.2	1.822576312	4.2	0.631212564	3.26802058	0.032	0.032
ADD	12.69948261	6.2	10.16615378	4.2	10.64994954	3.26802058	200	200
ADK1	31	31	31	31	35.46002362	3.26802058	1296	1296
ADK1_b	5.396465387	6.2	8.020774255	4.2	4.200685188	3.26802058	319	319
ADK3	21.09293458	6.2	14.77674394	14.77674394	14.77674394	14.77674394	78.68503686	16.61666667
ADK3_b	9.63016007	6.2	7.338025008	4.2	4.014544141	3.26802058	21.48881708	16.61666667
ADK4	4.397038513	6.2	6.624421823	4.2	4.506134995	3.26802058	27.41382961	16.61666667
ADK4_b	3.594389569	6.2	5.202584233	4.2	4.281521078	3.26802058	25.75883719	16.61666667
ADMDC	2.873081089	6.2	2.161436964	2.161436964	2.161436964	2.161436964	7.912479057	16.61666667
ADNCYC	19.44416887	6.2	51.26401442	4.2	9.995464101	3.26802058	1.67	1.67
ADNK1	0.008	0.008	0.008	0.008	3.51473497	3.26802058	13.15565931	16.61666667
ADNUC	6.355003765	6.2	9.477222049	4.2	3.447988497	3.26802058	0.0154	0.0154
ADOCBIK	2.859701326	6.2	3.605294882	4.2	2.721727823	3.26802058	6.190634711	16.61666667
ADOCBLS	6.35128907	6.2	10.42188527	4.2	4.193461675	3.26802058	21.71700595	16.61666667
ADPRDP	3.175474928	6.2	5.012712239	4.2	4.582911219	3.26802058	117	117
ADPT	4.054746852	6.2	9.949594552	4.2	3.790963964	3.26802058	15.67255189	16.61666667
ADSK	22	22	85.07205349	85.07205349	85.07205349	85.07205349	34.61509755	16.61666667
ADSL1r	10	10	10	10	4.036561997	4.036561997	12.18612958	16.61666667
ADSL1r_b	4.663649344	6.2	12.17745512	4.2	3.154050218	3.26802058	11.40295429	16.61666667
ADSL2r	15	15	15	15	10.24186543	10.24186543	40.73929695	16.61666667
ADSL2r_b	4.647163447	6.2	13.62556103	4.2	3.193393425	3.26802058	9.921958463	16.61666667
ADSS	3.3	3.3	3.3	3.3	1.84018957	1.84018957	1.37	1.37
AGDC	12.71976784	6.2	17.67296422	4.2	9.353272777	3.26802058	105	105
AGM3PA	4.651641636	6.2	7.553555878	4.2	3.051655042	3.26802058	39.40912937	16.61666667
AGM3PApp	6.848692128	6.2	10.09501275	4.2	3.143363913	3.26802058	73.46767022	16.61666667
AGM3PH	3.36845539	6.2	4.06600945	4.2	2.831627994	3.26802058	13.85211093	16.61666667
AGM3Pt2pp	5.069898166	6.2	9.716711322	4.2	3.755547685	3.26802058	14.42247887	16.61666667
AGM4PA	4.651641636	6.2	7.553555878	4.2	3.051655042	3.26802058	39.40912937	16.61666667
AGM4PApp	6.848692128	6.2	10.09501275	4.2	3.143363913	3.26802058	73.46767022	16.61666667
AGM4PCP	4.185510589	6.2	17.91311836	4.2	3.73361313	3.26802058	61.04554544	16.61666667
AGM4PCPpp	6.989049742	6.2	12.21003082	4.2	3.280726957	3.26802058	16.72468081	16.61666667
AGM4PH	3.36845539	6.2	4.06600945	4.2	2.831627994	3.26802058	13.85211093	16.61666667
AGM4Pt2pp	5.069898166	6.2	9.716711322	4.2	3.755547685	3.26802058	14.42247887	16.61666667
AGMH	3.36845539	6.2	4.06600945	4.2	2.831627994	3.26802058	13.85211093	16.61666667
AGMHE	8.035372301	6.2	0.934695618	0.934695618	0.934695618	0.934695618	50.42796643	16.61666667
AGMT	7.990938167	6.2	13.34793999	4.2	12.28419481	3.26802058	12.37017681	16.61666667
AGMt2pp	5.069898166	6.2	9.716711322	4.2	3.755547685	3.26802058	14.42247887	16.61666667
AGPAT120	20.26382108	6.2	42.51616158	4.2	6.658907715	3.26802058	19.95470353	16.61666667
AGPAT140	20.26382108	6.2	42.51616158	4.2	6.658907715	3.26802058	19.95470353	16.61666667
AGPAT141	20.26382108	6.2	42.51616158	4.2	6.658907715	3.26802058	19.95470353	16.61666667
AGPAT160	136	136	136	136	30.02670467	30.02670467	27.2062925	16.61666667
AGPAT161	160	160	160	160	23.35459914	23.35459914	25.47826121	16.61666667
AGPAT180	20.26382108	6.2	42.51616158	4.2	6.658907715	3.26802058	19.95470353	16.61666667
AGPAT181	18.70373366	6.2	12.03672268	12.03672268	12.03672268	12.03672268	19.27001071	16.61666667
AGPR	9.432354474	6.2	6.951253278	4.2	3.582857551	3.26802058	15.54297751	16.61666667
AGPR_b	24	24	24	24	12.40352354	12.40352354	56.2882744	16.61666667
AHCYSNS	0.03	0.03	0.05233654	0.05233654	0.05233654	0.05233654	0.45	0.45
AHGDx	3.249958287	6.2	4.826659675	4.2	4.427314072	3.26802058	7.430582542	16.61666667
AHGDx_b	3.325720092	6.2	3.845090924	4.2	2.770436831	3.26802058	7.289960765	16.61666667
AI2K	2.902181064	6.2	3.631646229	4.2	1.660644227	3.26802058	12.62238903	16.61666667
AICART	10	10	11.88470268	11.88470268	11.88470268	11.88470268	26.21474808	16.61666667
AICART_b	5.50869788	6.2	6.985693387	4.2	3.406533551	3.26802058	9.209759873	16.61666667
AIRC2	154	154	154	154	48.17104661	48.17104661	2.3	2.3
AIRC3	6.93470178	6.2	14.22503867	4.2	7.516070603	3.26802058	15.6	15.6
AIRC3_b	13	13	30.13264126	30.13264126	30.13264126	30.13264126	15.5	15.5
AKGDH	162.6158816	6.2	73.53512719	4.2	40.88314461	3.26802058	78.73476487	16.61666667
ALAALAD	5.026746045	6.2	7.177110693	4.2	3.768559723	3.26802058	8.237572499	16.61666667
ALAALAr	4.440655899	6.2	171.8978002	4.2	2.829274486	3.26802058	31.16666667	31.16666667
ALAALAr_b	6.772474354	6.2	28.33628249	4.2	2.462285459	3.26802058	9.042859052	16.61666667
ALAGLUE	4.355921551	6.2	6.700530175	4.2	2.794804974	3.26802058	20.04171649	16.61666667
ALAGLUE_b	4.355921551	6.2	6.700530175	4.2	2.794804974	3.26802058	20.04171649	16.61666667
ALAR	8.832333217	6.2	6.209995501	4.2	4.783024602	3.26802058	27.667	27.667
ALAR_b	8.329716998	6.2	7.123009553	4.2	4.373348873	3.26802058	27.667	27.667
ALATA_D2	7.481837474	6.2	8.676665434	4.2	3.880836042	3.26802058	15.70265945	16.61666667
ALATA_L	11.89499557	6.2	10.17336862	4.2	32.71224063	3.26802058	23.59357218	16.61666667
ALATA_L2	7.481837474	6.2	8.676665434	4.2	3.880836042	3.26802058	15.70265945	16.61666667
ALATA_L_b	16.8231781	6.2	26.19731991	4.2	12.19886817	3.26802058	14.13406999	16.61666667
ALATRS	5.112507803	6.2	6.540264366	4.2	2.674387483	3.26802058	120	120
ALCD19	66.67009795	6.2	54.22010674	4.2	11.22634923	3.26802058	38.75449611	16.61666667
ALCD19_b	25.05793754	6.2	22.55064518	4.2	3.933228425	3.26802058	17.16841655	16.61666667
ALCD2x	17.51202727	6.2	21.10138348	4.2	2.795777914	3.26802058	19.23078108	16.61666667
ALCD2x_b	31.18149389	6.2	10.55338363	4.2	3.611051209	3.26802058	20.16993859	16.61666667
ALDD19xr	5.53352937	6.2	5.137953339	4.2	2.526443804	3.26802058	96.8	96.8
ALDD19xr_b	8.22252753	6.2	6.353323373	4.2	4.686109907	3.26802058	96.8	96.8
